id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
62,Location 62,7,3,44.1,58.9,7,1,33.32,50.2,3,581,2
63,Location 63,12,5,23.54,44.0,2,4,198.88,81.3,1,698,6
64,Location 64,8,3,5.66,58.9,6,1,87.54,58.6,3,679,6
65,Location 65,15,3,41.51,35.1,1,5,350.72,91.9,1,492,4
66,Location 66,3,1,3.33,70.3,3,4,61.81,50.0,3,164,6
67,Location 67,14,1,36.61,89.8,7,3,335.76,72.5,3,606,5
68,Location 68,17,1,38.92,80.8,2,4,150.23,58.9,2,249,4
69,Location 69,4,2,18.28,55.2,2,2,107.47,64.7,1,68,4
70,Location 70,18,4,41.41,36.1,1,2,468.81,95.0,1,21,3
71,Location 71,8,2,26.27,44.2,4,4,19.08,65.1,1,512,3
72,Location 72,4,4,23.7,68.2,7,5,224.51,73.3,1,597,5
73,Location 73,2,4,3.22,44.5,7,2,20.6,58.4,1,390,2
74,Location 74,6,3,15.21,68.1,5,2,246.96,72.5,2,536,6
75,Location 75,22,3,46.62,46.2,1,3,255.51,76.5,3,111,1
76,Location 76,10,4,20.2,89.4,2,4,167.61,62.0,1,595,6
77,Location 77,4,4,27.79,57.8,2,2,74.76,66.6,1,460,1
78,Location 78,22,2,27.07,47.2,1,5,194.43,66.1,3,78,5
79,Location 79,18,2,29.93,86.9,4,1,339.41,78.2,2,434,2
80,Location 80,26,3,4.01,54.0,5,4,393.37,89.8,2,380,2
81,Location 81,12,1,18.75,37.8,3,3,270.07,88.0,2,652,2
82,Location 82,2,4,36.43,69.9,1,2,299.02,76.4,3,440,3
83,Location 83,10,2,10.83,70.7,5,5,108.3,53.2,3,339,5
84,Location 84,4,3,10.98,80.0,7,4,150.79,59.7,2,424,1
85,Location 85,14,2,1.49,46.8,5,5,89.33,63.9,2,169,2
86,Location 86,16,4,22.44,61.1,6,5,132.15,54.1,3,262,5
87,Location 87,15,4,44.25,49.8,2,3,120.19,62.7,2,579,6
88,Location 88,8,5,3.54,35.7,3,4,264.53,90.0,1,229,1
89,Location 89,14,1,10.36,91.4,1,2,285.72,67.1,3,161,3
90,Location 90,23,5,16.19,81.0,2,3,473.02,92.0,2,427,4
91,Location 91,25,3,36.85,51.1,6,2,105.83,58.5,1,122,1
92,Location 92,8,2,32.39,72.0,6,1,324.42,69.0,3,149,6
93,Location 93,21,3,21.38,44.1,2,5,410.46,88.3,3,111,1
94,Location 94,16,4,38.19,92.3,4,1,284.52,75.8,1,657,1
95,Location 95,13,5,30.87,38.0,5,5,134.95,73.3,3,221,4
96,Location 96,18,5,44.91,30.3,1,3,138.65,67.6,2,64,2
97,Location 97,15,5,41.08,65.1,1,2,29.23,50.0,3,638,6
98,Location 98,21,3,13.39,70.8,1,2,159.67,63.1,2,354,4
99,Location 99,24,4,14.3,70.5,2,3,374.86,90.7,1,474,1
100,Location 100,26,2,7.14,33.8,7,4,33.28,65.0,1,485,6
101,Location 101,25,2,17.51,52.0,4,1,117.45,56.8,3,13,3
102,Location 102,13,3,49.98,64.9,3,1,356.05,82.0,1,153,1
103,Location 103,9,5,20.88,45.2,6,2,393.5,92.3,1,239,3
104,Location 104,15,1,11.8,91.1,2,2,233.11,56.7,3,190,5
105,Location 105,13,3,38.36,36.1,7,2,352.06,93.1,2,663,3
106,Location 106,1,3,27.58,64.1,3,3,200.1,62.9,3,86,1
107,Location 107,25,4,8.33,78.4,6,4,88.36,50.0,3,21,4
108,Location 108,7,2,19.65,48.3,6,1,205.09,75.6,2,694,1
109,Location 109,9,3,21.31,73.7,4,5,294.18,77.2,2,319,1
110,Location 110,24,3,37.94,88.1,5,3,474.55,85.3,2,158,5
111,Location 111,1,5,2.01,43.3,1,1,43.69,60.2,3,481,2
112,Location 112,12,5,14.18,94.2,3,4,258.62,62.6,2,76,1
113,Location 113,8,1,26.36,68.7,2,3,171.17,67.4,1,329,5
114,Location 114,24,4,14.17,50.9,3,1,259.07,81.8,2,416,4
115,Location 115,11,1,31.79,60.2,5,3,21.75,52.3,1,203,5
116,Location 116,19,5,24.61,51.9,1,1,163.38,68.1,2,229,5
117,Location 117,17,2,18.72,80.8,3,1,411.74,84.5,1,152,3
118,Location 118,8,5,47.51,85.7,5,4,281.43,68.0,1,72,2
119,Location 119,3,4,31.98,88.3,2,5,230.79,67.8,1,225,2
120,Location 120,3,5,7.37,99.0,4,4,149.91,58.9,1,473,6
121,Location 121,1,4,28.44,85.4,7,1,156.04,61.8,1,643,4
122,Location 122,5,4,39.26,72.1,6,3,197.72,59.3,2,360,6
123,Location 123,10,4,35.72,53.7,2,4,419.43,89.5,3,540,5
124,Location 124,7,4,9.43,68.1,1,5,483.93,95.0,3,609,4
125,Location 125,26,4,48.65,32.9,6,1,224.94,66.6,3,46,4
126,Location 126,9,2,22.99,82.1,7,4,202.74,55.8,3,1,2
127,Location 127,7,1,8.79,61.2,2,4,424.81,93.9,3,678,2
128,Location 128,9,3,9.83,31.4,2,4,219.18,88.3,1,245,2
129,Location 129,8,1,5.81,34.4,2,4,280.49,88.7,2,219,1
130,Location 130,12,4,40.37,57.1,2,3,123.16,66.4,1,614,5
131,Location 131,2,2,6.98,70.8,6,5,374.32,78.9,2,291,4
132,Location 132,1,5,7.13,62.5,1,5,270.67,75.2,2,458,5
133,Location 133,16,2,42.67,73.3,7,1,406.43,75.9,2,204,4
134,Location 134,23,4,17.89,63.6,5,2,392.56,86.4,2,202,4
135,Location 135,23,2,2.51,76.3,3,3,115.35,58.5,3,566,6
136,Location 136,24,2,3.54,45.3,4,1,360.66,93.7,2,482,4
137,Location 137,5,4,7.97,37.9,7,1,402.03,95.0,2,511,4
138,Location 138,3,2,11.46,71.8,3,4,179.59,63.6,3,278,3
139,Location 139,12,3,33.59,63.9,3,2,94.58,58.3,1,16,3
140,Location 140,8,3,8.71,31.9,4,2,11.29,70.1,1,525,6
141,Location 141,22,2,6.82,56.6,7,3,230.94,73.8,1,356,1
142,Location 142,3,5,38.47,37.4,6,2,182.69,75.8,1,356,2
143,Location 143,1,4,33.88,67.2,1,1,281.91,78.9,2,599,4
144,Location 144,3,3,22.33,57.7,4,2,102.14,55.6,3,78,5
145,Location 145,5,5,27.92,72.9,1,2,431.24,80.4,3,67,3
146,Location 146,15,2,16.29,86.4,6,5,136.3,52.5,1,214,2
147,Location 147,14,5,24.64,51.0,3,1,120.95,71.1,3,697,1
148,Location 148,3,1,25.83,97.3,1,2,245.55,66.8,2,449,2
149,Location 149,1,3,19.97,67.5,6,2,254.44,72.9,1,433,4
150,Location 150,5,2,45.42,73.3,6,4,115.39,53.1,2,545,2
151,Location 151,26,4,1.79,77.6,5,2,143.21,56.3,2,115,4
152,Location 152,23,2,39.33,76.7,4,2,93.16,56.3,2,420,6
153,Location 153,14,4,7.09,65.8,5,5,362.05,88.2,2,499,3
154,Location 154,7,2,40.08,60.0,3,1,387.34,85.5,2,380,3
155,Location 155,9,5,31.18,33.8,4,3,236.54,83.8,1,143,4
156,Location 156,15,5,42.32,31.5,3,1,359.9,90.7,2,632,5
157,Location 157,15,5,5.78,55.1,5,4,370.61,84.3,1,24,3
158,Location 158,26,1,28.39,53.4,7,1,77.76,55.2,3,539,5
159,Location 159,10,4,25.55,57.1,6,2,483.43,87.8,2,75,4
160,Location 160,13,5,35.6,39.7,3,4,412.31,95.0,2,535,6
161,Location 161,19,1,27.18,81.7,4,1,110.2,61.0,3,673,4
162,Location 162,7,4,27.5,90.0,4,4,101.22,50.0,1,41,6
163,Location 163,17,2,22.05,95.7,3,3,71.57,52.0,2,568,3
164,Location 164,20,1,16.13,64.5,4,1,77.81,53.3,3,413,5
165,Location 165,4,3,24.63,79.1,6,2,376.6,78.6,3,415,4
166,Location 166,5,1,6.81,89.9,7,4,240.13,61.4,2,449,3
167,Location 167,23,1,48.11,59.3,6,5,393.64,87.6,1,610,6
168,Location 168,7,4,36.01,51.7,4,4,375.66,95.0,1,658,4
169,Location 169,13,2,47.67,95.6,3,5,306.26,67.7,2,436,6
170,Location 170,15,3,12.11,66.1,5,2,346.32,81.5,3,552,2
171,Location 171,11,5,44.09,64.8,4,3,18.99,50.0,2,239,6
172,Location 172,4,5,40.63,42.5,4,5,162.77,75.0,1,42,2
173,Location 173,13,1,34.18,37.6,4,3,322.53,82.7,3,10,3
174,Location 174,7,4,31.63,88.9,4,4,14.58,50.0,2,265,4
175,Location 175,19,4,16.51,73.0,3,2,26.16,54.5,3,581,3
176,Location 176,22,5,41.0,52.8,5,5,427.43,95.0,1,445,1
177,Location 177,2,3,25.57,43.4,5,4,345.17,86.9,1,139,6
178,Location 178,10,2,4.47,68.9,1,1,140.03,61.6,1,196,3
179,Location 179,13,3,16.33,70.9,4,4,347.1,78.3,2,74,3
180,Location 180,25,2,46.83,44.5,4,3,398.3,90.3,3,615,2
181,Location 181,21,5,42.68,89.6,1,2,160.33,51.0,2,225,6
182,Location 182,6,2,49.11,35.9,5,2,27.66,67.0,2,635,2
183,Location 183,12,4,31.77,54.9,2,4,467.06,93.3,2,102,4
184,Location 184,12,1,13.13,77.6,6,1,179.14,58.7,2,264,3
185,Location 185,20,1,8.98,49.2,2,3,62.18,52.6,3,161,6
186,Location 186,11,5,10.16,87.9,5,4,251.01,62.9,3,233,3
187,Location 187,26,4,1.97,81.8,7,4,386.55,78.8,2,491,4
188,Location 188,23,3,20.14,85.2,4,2,118.61,54.6,2,311,5
189,Location 189,25,4,10.38,38.3,2,3,142.05,77.1,1,651,4
190,Location 190,7,1,21.17,39.8,3,1,128.93,76.4,1,227,2
191,Location 191,1,1,46.81,50.1,3,2,495.92,93.8,3,273,2
192,Location 192,1,4,22.1,66.3,1,4,106.73,62.0,1,317,3
193,Location 193,25,4,44.02,82.4,5,2,292.0,62.1,3,86,2
194,Location 194,25,1,30.67,88.6,5,2,463.38,80.0,3,291,6
195,Location 195,20,3,13.11,79.3,2,5,81.98,52.2,3,469,4
196,Location 196,13,5,18.44,95.0,4,2,485.72,94.4,1,578,3
197,Location 197,9,5,5.11,81.7,5,2,474.26,95.0,1,647,4
198,Location 198,3,4,17.34,51.4,2,3,443.44,95.0,3,404,4
199,Location 199,7,5,34.2,48.6,2,2,115.13,65.4,3,427,3
200,Location 200,6,1,4.53,78.7,6,1,320.69,70.0,2,375,5
201,Location 201,8,1,11.06,43.5,6,4,382.84,90.5,3,567,2
202,Location 202,9,4,19.69,36.5,5,3,493.15,95.0,3,252,1
203,Location 203,5,4,49.12,67.3,2,2,98.41,57.1,2,533,1
204,Location 204,1,4,39.46,87.5,1,1,385.35,76.4,3,307,1
205,Location 205,19,3,36.94,37.1,1,4,176.01,76.4,3,430,2
206,Location 206,10,5,6.69,85.4,6,3,96.06,50.0,3,675,5
207,Location 207,12,4,39.27,86.8,5,1,216.47,63.5,2,264,4
208,Location 208,24,2,39.48,63.8,4,2,398.98,89.0,1,68,3
209,Location 209,15,2,30.45,34.0,7,5,237.78,68.3,3,107,5
210,Location 210,22,1,49.53,42.2,1,5,273.39,80.4,2,400,1
211,Location 211,24,5,16.94,79.5,1,3,497.63,93.9,3,579,6
212,Location 212,9,4,47.12,79.8,6,1,205.56,58.6,2,199,2
213,Location 213,20,2,45.82,92.9,6,4,311.55,58.5,3,192,2
214,Location 214,17,5,1.56,70.8,5,1,188.97,69.1,2,514,3
215,Location 215,17,1,23.06,38.7,6,5,202.46,75.5,1,442,6
216,Location 216,26,3,48.88,38.5,3,3,350.86,89.9,1,1,4
217,Location 217,20,5,6.05,80.5,7,2,469.56,84.9,1,358,5
218,Location 218,12,5,27.84,42.9,2,1,275.76,75.4,3,115,6
219,Location 219,7,3,48.97,53.0,1,5,386.52,88.6,2,600,5
220,Location 220,2,5,28.22,64.1,3,4,53.71,50.1,3,197,5
221,Location 221,3,1,10.3,31.7,4,3,113.47,73.6,3,604,4
222,Location 222,17,1,29.53,47.4,3,2,256.04,78.5,2,274,4
223,Location 223,5,3,11.02,58.6,5,1,19.81,50.0,3,160,4
224,Location 224,17,4,26.47,49.6,4,4,133.9,70.2,2,173,3
225,Location 225,24,2,4.63,39.5,4,2,263.53,95.0,2,545,2
226,Location 226,17,4,30.67,81.0,6,5,17.33,50.0,1,458,1
227,Location 227,17,5,26.32,86.9,3,5,139.63,64.0,1,585,4
228,Location 228,2,2,37.27,48.0,5,4,261.88,84.2,1,433,2
229,Location 229,2,3,31.9,84.2,1,5,290.84,74.2,2,481,4
230,Location 230,22,3,27.93,57.0,7,3,463.62,95.0,1,455,1
231,Location 231,23,2,34.8,65.5,6,4,326.22,73.7,2,196,6
232,Location 232,5,1,8.05,89.9,3,5,213.22,63.1,3,599,4
233,Location 233,1,2,30.17,82.5,1,1,465.87,90.3,1,309,2
234,Location 234,1,5,9.43,86.4,3,5,394.59,83.1,2,556,3
235,Location 235,19,1,46.35,39.6,6,3,108.0,63.3,2,494,6
236,Location 236,2,3,4.35,34.9,1,2,74.11,69.8,2,439,6
237,Location 237,21,2,22.09,92.5,6,2,341.15,71.8,2,650,6
238,Location 238,12,4,35.09,57.1,3,5,284.34,82.6,1,359,1
239,Location 239,26,4,23.44,50.2,4,2,396.94,89.3,1,36,2
240,Location 240,6,5,5.51,80.7,7,5,372.01,72.2,1,34,5
241,Location 241,23,4,28.12,88.5,2,3,316.35,68.7,2,88,5
242,Location 242,4,2,32.44,90.4,7,2,493.33,87.5,3,658,5
243,Location 243,23,2,35.49,52.1,4,1,271.46,75.9,2,16,3
244,Location 244,11,4,19.29,89.7,6,5,65.42,50.0,3,421,4
245,Location 245,24,2,28.62,32.9,7,2,415.85,95.0,1,553,4
246,Location 246,17,5,23.08,33.5,6,3,133.41,65.1,2,126,4
247,Location 247,6,1,33.93,73.6,6,3,390.88,74.6,2,8,3
248,Location 248,24,5,29.59,34.4,1,1,478.98,95.0,1,472,5
249,Location 249,5,5,26.76,52.7,5,3,351.43,84.6,2,468,6
250,Location 250,20,2,13.23,77.1,6,3,302.05,69.6,3,510,4
251,Location 251,2,1,1.1,53.6,7,2,235.59,68.7,3,402,6
252,Location 252,6,2,9.53,42.6,7,5,188.56,63.3,3,176,6
253,Location 253,22,3,6.74,49.7,7,4,182.97,68.5,2,367,3
254,Location 254,11,2,23.01,62.0,4,3,321.82,82.5,2,488,3
255,Location 255,16,2,31.0,63.3,2,3,378.12,78.5,3,18,2
256,Location 256,16,2,11.44,84.8,6,4,342.47,67.7,2,56,4
257,Location 257,1,1,47.01,82.5,6,3,107.22,50.0,3,35,5
258,Location 258,9,2,1.33,62.0,6,2,252.05,80.1,1,630,1
259,Location 259,6,1,38.84,89.2,1,2,397.9,80.9,3,573,3
260,Location 260,16,4,31.64,38.0,6,4,243.09,85.7,1,600,6
261,Location 261,3,3,19.3,47.9,4,3,272.95,90.0,1,347,2
262,Location 262,20,1,3.47,88.0,3,3,387.86,76.6,1,32,1
263,Location 263,4,4,31.75,56.5,5,5,334.02,81.1,3,133,3
264,Location 264,19,1,19.9,98.7,7,3,210.58,60.0,3,576,2
265,Location 265,26,1,46.88,62.6,6,2,448.75,80.8,2,199,6
266,Location 266,3,3,27.56,85.4,1,1,89.66,53.1,2,256,4
267,Location 267,19,5,47.04,58.2,4,1,497.8,95.0,1,342,2
268,Location 268,20,5,11.8,59.7,6,1,68.24,55.4,3,667,3
269,Location 269,7,1,36.56,56.8,1,1,17.33,53.3,2,231,4
270,Location 270,20,2,31.25,80.3,3,3,446.11,83.0,2,301,6
271,Location 271,9,4,37.23,68.3,2,3,130.03,64.9,2,547,5
272,Location 272,1,2,11.52,96.1,6,5,367.55,64.3,3,26,2
273,Location 273,8,2,33.58,47.6,4,3,407.4,95.0,2,535,1
274,Location 274,7,1,25.4,37.0,1,1,430.9,95.0,1,653,6
275,Location 275,18,1,37.4,57.5,1,4,495.88,95.0,3,474,4
276,Location 276,8,1,17.03,73.2,6,4,154.08,58.4,2,387,6
277,Location 277,1,1,44.61,90.3,1,2,358.02,71.8,2,285,4
278,Location 278,11,5,5.13,54.2,2,2,66.55,56.7,3,450,6
279,Location 279,25,1,40.55,75.8,1,3,209.34,59.8,2,320,5
280,Location 280,25,5,43.2,54.5,7,4,425.51,81.4,2,156,2
281,Location 281,18,5,41.05,73.2,5,1,190.15,68.9,1,471,1
282,Location 282,23,1,26.12,91.9,7,1,299.64,64.9,3,420,5
283,Location 283,10,3,22.48,46.2,5,1,256.85,74.6,2,113,2
284,Location 284,3,4,49.82,58.3,1,3,326.52,83.3,3,651,1
285,Location 285,7,2,12.23,99.5,6,3,486.72,78.9,3,422,6
286,Location 286,16,5,27.8,90.8,5,5,37.31,52.7,1,598,1
287,Location 287,26,4,33.86,69.5,4,1,291.24,77.6,1,285,3
288,Location 288,16,3,35.34,66.2,5,1,432.88,90.7,3,572,1
289,Location 289,25,2,11.0,49.9,7,3,245.88,70.7,1,54,2
290,Location 290,20,2,33.05,66.2,1,3,48.48,57.8,1,605,5
291,Location 291,17,5,41.1,89.4,6,5,284.66,60.9,2,325,5
292,Location 292,2,1,3.45,78.0,3,5,172.72,67.8,1,458,3
293,Location 293,1,3,45.66,50.3,6,2,85.92,56.9,1,265,2
294,Location 294,16,5,2.45,44.1,6,4,426.03,91.6,2,382,1
295,Location 295,12,3,18.44,48.6,6,1,265.58,74.2,2,213,3
296,Location 296,5,1,1.77,41.9,4,1,467.31,95.0,3,333,6
297,Location 297,5,1,4.78,36.7,2,5,404.95,95.0,1,10,4
298,Location 298,23,5,45.65,59.3,7,5,349.56,76.9,2,358,6
299,Location 299,9,1,18.39,37.9,1,2,12.46,62.9,1,203,2
300,Location 300,9,4,21.81,42.0,2,4,219.63,78.6,3,58,3
301,Location 301,3,2,11.55,68.3,3,2,106.77,64.0,1,494,5
302,Location 302,19,5,30.26,41.5,2,4,456.29,95.0,1,510,3
303,Location 303,16,3,30.15,34.5,1,1,95.55,68.7,1,223,4
304,Location 304,16,4,19.24,52.2,7,2,150.17,63.8,2,369,2
305,Location 305,3,5,17.32,45.4,7,5,263.25,87.7,2,692,3
306,Location 306,20,1,44.36,66.1,1,2,139.05,55.5,3,418,6
307,Location 307,24,1,19.78,37.2,3,2,112.83,77.2,1,547,1
308,Location 308,22,1,25.18,82.6,1,1,303.56,66.4,3,103,6
309,Location 309,24,1,14.88,93.4,3,5,53.58,50.0,3,161,2
310,Location 310,1,3,39.55,82.0,3,5,38.5,50.0,2,200,3
311,Location 311,24,4,20.47,67.3,1,3,192.4,68.4,1,160,6
312,Location 312,20,2,26.17,90.2,5,3,363.13,83.2,1,695,3
313,Location 313,11,3,13.41,78.6,7,3,281.86,61.0,3,136,6
314,Location 314,17,3,49.4,30.7,3,1,217.21,81.5,1,398,2
315,Location 315,8,2,15.28,57.6,1,2,287.22,79.2,2,392,5
316,Location 316,4,2,38.77,89.6,5,5,189.07,55.9,3,106,6
317,Location 317,6,1,21.95,54.2,7,5,468.71,93.5,3,583,1
318,Location 318,8,3,11.1,32.5,3,2,36.9,66.2,2,589,6
319,Location 319,20,5,40.19,82.2,7,5,339.96,64.1,2,54,2
320,Location 320,3,2,17.35,86.1,5,2,446.73,84.0,2,277,6
321,Location 321,16,2,43.39,41.2,7,1,403.9,83.5,2,111,1
322,Location 322,25,4,45.85,67.6,4,1,100.18,52.7,2,224,1
323,Location 323,3,5,43.13,43.4,6,1,155.0,61.5,2,75,2
324,Location 324,25,5,2.72,80.3,4,2,361.35,78.1,3,506,3
325,Location 325,18,2,39.58,49.0,5,2,51.29,62.5,1,14,6
326,Location 326,14,1,21.16,52.1,3,4,407.81,95.0,1,482,5
327,Location 327,18,4,43.81,89.1,1,5,362.26,71.2,3,189,1
328,Location 328,2,5,32.26,63.3,2,5,367.51,88.5,1,364,1
329,Location 329,22,2,41.85,76.9,1,4,59.12,50.0,1,239,6
330,Location 330,3,5,25.47,58.2,7,4,361.7,82.0,3,401,3
331,Location 331,16,4,27.22,50.9,2,1,343.11,86.0,1,304,6
332,Location 332,9,4,8.07,73.8,2,4,417.15,88.2,1,91,2
333,Location 333,4,3,39.42,40.8,7,2,30.38,55.4,3,392,5
334,Location 334,1,2,21.55,56.1,7,3,21.32,50.0,1,184,6
335,Location 335,4,4,25.5,44.6,3,2,192.77,71.8,2,17,1
336,Location 336,1,3,39.47,78.7,5,4,82.91,50.0,3,12,1
337,Location 337,14,3,30.34,96.1,1,5,283.61,70.6,1,166,2
338,Location 338,21,5,10.85,99.7,5,2,459.5,82.4,1,146,3
339,Location 339,16,5,29.92,61.5,4,5,201.83,66.6,2,282,6
340,Location 340,20,3,20.97,47.7,3,2,424.03,93.8,3,549,4
341,Location 341,24,5,24.01,61.0,3,5,10.12,56.5,3,582,3
342,Location 342,8,4,2.39,89.3,4,2,92.57,54.0,1,169,1
343,Location 343,7,1,11.29,44.4,1,5,24.91,54.7,2,170,6
344,Location 344,3,4,14.77,96.6,6,3,170.79,54.7,2,346,1
345,Location 345,17,3,35.94,53.9,4,1,455.01,95.0,2,499,5
346,Location 346,1,3,1.56,99.0,1,2,57.51,50.0,2,460,3
347,Location 347,16,4,21.03,88.7,2,3,307.14,70.8,2,297,4
348,Location 348,12,5,46.28,86.6,7,1,231.23,54.2,2,142,5
349,Location 349,19,5,6.48,52.3,3,2,469.85,95.0,3,695,4
350,Location 350,22,3,26.3,30.6,1,3,70.03,69.1,1,53,5
351,Location 351,23,2,39.54,56.7,5,3,113.89,64.6,1,118,3
352,Location 352,22,5,47.18,51.1,7,3,24.48,50.5,2,365,1
353,Location 353,14,4,37.59,32.6,5,4,222.63,90.4,3,671,4
354,Location 354,6,5,36.31,65.4,7,5,146.14,54.3,3,136,3
355,Location 355,6,4,41.5,58.2,3,1,436.25,90.0,2,414,4
356,Location 356,13,3,22.86,74.4,4,5,306.42,76.6,1,77,3
357,Location 357,19,5,40.49,73.5,6,5,310.9,73.2,2,557,5
358,Location 358,22,4,1.39,38.5,4,5,270.64,80.8,3,18,3
359,Location 359,8,3,46.3,98.4,1,3,55.01,50.0,2,403,5
360,Location 360,2,2,22.72,43.1,4,5,228.06,79.2,1,205,1
361,Location 361,21,4,28.12,61.2,3,4,499.76,95.0,1,499,5
362,Location 362,1,2,13.49,64.2,1,2,419.26,86.4,3,324,2
363,Location 363,15,2,37.38,86.9,2,3,447.79,87.4,2,595,1
364,Location 364,1,1,4.76,36.9,4,1,413.38,95.0,2,562,6
365,Location 365,5,5,43.76,60.0,4,2,60.49,50.0,3,281,6
366,Location 366,16,4,41.58,74.0,6,2,121.45,50.0,2,166,3
367,Location 367,19,2,11.59,45.1,1,2,11.53,61.3,3,243,3
368,Location 368,4,1,40.66,73.9,5,5,158.72,64.0,2,479,2
369,Location 369,3,3,39.53,94.7,4,5,63.22,50.0,1,164,3
370,Location 370,17,4,31.98,99.8,3,3,241.67,61.0,3,324,1
371,Location 371,17,2,19.3,32.3,4,5,341.79,94.9,2,568,1
372,Location 372,12,5,14.3,46.5,6,5,438.51,95.0,2,551,5
373,Location 373,14,1,12.36,51.7,2,5,377.12,95.0,2,640,4
374,Location 374,21,2,16.61,57.9,6,3,469.91,93.3,3,634,3
